"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3036","test_login_with_page_object_v1","tests.web.selenium","Fri Feb 27 06:30:37 UTC 2026","passed","Fri Feb 27 06:30:40 UTC 2026","","simple_selenium_test","",""
"","152","test_list_project_tests","tests.api","Fri Feb 27 06:29:47 UTC 2026","passed","Fri Feb 27 06:29:47 UTC 2026","TestProjectTests","projects_test","",""
"","596","test_new_project_creation","tests.web.selenium.enterprise_plan","Fri Feb 27 06:29:59 UTC 2026","passed","Fri Feb 27 06:29:59 UTC 2026","","project_creation_test","",""
"","1708","test_projects_page_header","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:49 UTC 2026","passed","Fri Feb 27 06:30:51 UTC 2026","","switch_company_test","",""
"","692","test_can_create_project_by_header_button","tests.web.enterprise_plan","Fri Feb 27 06:30:39 UTC 2026","passed","Fri Feb 27 06:30:40 UTC 2026","","project_creation_test","",""
"","245","test_list_rungroups","tests.api","Fri Feb 27 06:29:43 UTC 2026","passed","Fri Feb 27 06:29:43 UTC 2026","TestRunGroups","test_runs","",""
"","5800","test_should_be_possible_to_open_free_project","tests.web.enterprise_plan","Fri Feb 27 06:30:07 UTC 2026","passed","Fri Feb 27 06:30:13 UTC 2026","","projects_page_test","",""
"","1340","test_login_invalid[xss_in_password]","tests.web","Fri Feb 27 06:30:43 UTC 2026","passed","Fri Feb 27 06:30:45 UTC 2026","","login_page_test","",""
"","485","test_users_list","tests.api","Fri Feb 27 06:29:45 UTC 2026","passed","Fri Feb 27 06:29:46 UTC 2026","TestMiscEndpoints","test_misc","",""
"","8070","test_open_project_and_create_test_suite_from_side_bar","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:22 UTC 2026","passed","Fri Feb 27 06:30:30 UTC 2026","","project_creation_test","",""
"","364","test_search_project_in_company","tests.web.enterprise_plan","Fri Feb 27 06:30:02 UTC 2026","passed","Fri Feb 27 06:30:02 UTC 2026","","projects_page_test","",""
"","694","test_create_update_delete_run","tests.api","Fri Feb 27 06:30:10 UTC 2026","passed","Fri Feb 27 06:30:10 UTC 2026","TestRuns","test_runs","",""
"","496","test_choose_project_by_classic_mode","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:35 UTC 2026","passed","Fri Feb 27 06:30:36 UTC 2026","","project_creation_test","",""
"","164","test_jira_issues_list","tests.api","Fri Feb 27 06:29:44 UTC 2026","passed","Fri Feb 27 06:29:44 UTC 2026","TestMiscEndpoints","test_misc","",""
"","1458","test_login_invalid[min_valid_email_format]","tests.web","Fri Feb 27 06:30:40 UTC 2026","passed","Fri Feb 27 06:30:42 UTC 2026","","login_page_test","",""
"","1435","test_login_invalid[password_only_spaces]","tests.web","Fri Feb 27 06:30:22 UTC 2026","passed","Fri Feb 27 06:30:23 UTC 2026","","login_page_test","",""
"","3365","test_login_with_page_object_v2","tests.web.selenium","Fri Feb 27 06:30:40 UTC 2026","passed","Fri Feb 27 06:30:44 UTC 2026","","simple_selenium_test","",""
"","152","test_comments_list","tests.api","Fri Feb 27 06:29:42 UTC 2026","passed","Fri Feb 27 06:29:42 UTC 2026","TestMiscEndpoints","test_misc","",""
"","1046","test_add_feature_flag_cookie","tests.web","Fri Feb 27 06:30:25 UTC 2026","passed","Fri Feb 27 06:30:26 UTC 2026","","cookies_test","",""
"","614","test_delete_creation_project","tests.web.enterprise_plan","Fri Feb 27 06:30:14 UTC 2026","passed","Fri Feb 27 06:30:15 UTC 2026","","test_delete_project","",""
"","288","test_create_update_delete_rungroup","tests.api","Fri Feb 27 06:29:44 UTC 2026","passed","Fri Feb 27 06:29:45 UTC 2026","TestRunGroups","test_runs","",""
"","5794","test_selenium_login_and_search","tests.web.selenium","Fri Feb 27 06:30:30 UTC 2026","passed","Fri Feb 27 06:30:36 UTC 2026","","simple_selenium_test","",""
"","313","test_create_get_update_delete_template","tests.api","Fri Feb 27 06:29:49 UTC 2026","passed","Fri Feb 27 06:29:50 UTC 2026","TestTemplates","test_templates","",""
"","8849","test_create_test_suite","tests.web.enterprise_plan","Fri Feb 27 06:30:01 UTC 2026","passed","Fri Feb 27 06:30:10 UTC 2026","","test_create_suite","",""
"","3905","test_login_invalid[email_missing_at_symbol]","tests.web","Fri Feb 27 06:30:01 UTC 2026","passed","Fri Feb 27 06:30:05 UTC 2026","","login_page_test","",""
"","16302","test_open_project_and_create_test_suite_from_side_bar","tests.web.enterprise_plan","Fri Feb 27 06:30:18 UTC 2026","passed","Fri Feb 27 06:30:34 UTC 2026","","project_creation_test","",""
"","1453","test_login_invalid[sql_injection_password]","tests.web","Fri Feb 27 06:30:45 UTC 2026","passed","Fri Feb 27 06:30:46 UTC 2026","","login_page_test","",""
"","273","test_plan_aux","tests.api","Fri Feb 27 06:29:53 UTC 2026","passed","Fri Feb 27 06:29:54 UTC 2026","TestPlans","test_plans","",""
"","153","test_user_project_jira_issues","tests.api","Fri Feb 27 06:29:46 UTC 2026","passed","Fri Feb 27 06:29:46 UTC 2026","TestMiscEndpoints","test_misc","",""
"","1675","test_login_invalid[password_2_chars]","tests.web","Fri Feb 27 06:30:23 UTC 2026","passed","Fri Feb 27 06:30:25 UTC 2026","","login_page_test","",""
"","141","test_login_with_valid_token","tests.api","Fri Feb 27 06:29:46 UTC 2026","passed","Fri Feb 27 06:29:46 UTC 2026","TestAuthentication","projects_test","",""
"","605","test_choose_project_by_classic_mode","tests.web.enterprise_plan","Fri Feb 27 06:30:36 UTC 2026","passed","Fri Feb 27 06:30:36 UTC 2026","","project_creation_test","",""
"","8405","test_template_defaults_and_refresh","tests.api","Fri Feb 27 06:29:53 UTC 2026","passed","Fri Feb 27 06:30:02 UTC 2026","TestTemplates","test_templates","",""
"","6870","test_get_projects_returns_response","tests.api","Fri Feb 27 06:29:32 UTC 2026","passed","Fri Feb 27 06:29:39 UTC 2026","TestProjects","projects_test","",""
"","13284","test_tests_analytics","tests.api","Fri Feb 27 06:29:52 UTC 2026","passed","Fri Feb 27 06:30:05 UTC 2026","TestAnalytics","test_analytics","",""
"","617","test_choose_project_by_bdd_mode","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:40 UTC 2026","passed","Fri Feb 27 06:30:41 UTC 2026","","project_creation_test","",""
"","1452","test_login_invalid[max_length_email]","tests.web","Fri Feb 27 06:30:42 UTC 2026","passed","Fri Feb 27 06:30:43 UTC 2026","","login_page_test","",""
"","1057","test_project_has_required_attributes","tests.api","Fri Feb 27 06:29:40 UTC 2026","passed","Fri Feb 27 06:29:41 UTC 2026","TestProjects","projects_test","",""
"","1076","test_get_projects_returns_list_of_projects","tests.api","Fri Feb 27 06:29:39 UTC 2026","passed","Fri Feb 27 06:29:40 UTC 2026","TestProjects","projects_test","",""
"","164","test_list_templates","tests.api","Fri Feb 27 06:29:48 UTC 2026","passed","Fri Feb 27 06:29:48 UTC 2026","TestTemplates","test_templates","",""
"","155","test_attachments_list","tests.api","Fri Feb 27 06:29:40 UTC 2026","passed","Fri Feb 27 06:29:40 UTC 2026","TestMiscEndpoints","test_misc","",""
"","2052","test_login_invalid[email_with_space]","tests.web","Fri Feb 27 06:30:15 UTC 2026","passed","Fri Feb 27 06:30:17 UTC 2026","","login_page_test","",""
"","5825","test_can_not_create_project_without_company","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:19 UTC 2026","passed","Fri Feb 27 06:30:25 UTC 2026","","projects_page_test","",""
"","613","test_choose_project_by_bdd_mode","tests.web.enterprise_plan","Fri Feb 27 06:30:37 UTC 2026","passed","Fri Feb 27 06:30:38 UTC 2026","","project_creation_test","",""
"","2020","test_login_invalid[empty_password]","tests.web","Fri Feb 27 06:30:17 UTC 2026","broken","Fri Feb 27 06:30:19 UTC 2026","","login_page_test","",""
"","152","test_query_settings","tests.api","Fri Feb 27 06:30:12 UTC 2026","passed","Fri Feb 27 06:30:13 UTC 2026","TestAnalytics","test_analytics","",""
"","2423","test_login_invalid[email_missing_local_part]","tests.web","Fri Feb 27 06:30:10 UTC 2026","passed","Fri Feb 27 06:30:13 UTC 2026","","login_page_test","",""
"","1578","test_login_invalid[email_double_at]","tests.web","Fri Feb 27 06:30:13 UTC 2026","broken","Fri Feb 27 06:30:14 UTC 2026","","login_page_test","",""
"","2717","test_projects_page_header","tests.web.enterprise_plan","Fri Feb 27 06:30:27 UTC 2026","passed","Fri Feb 27 06:30:30 UTC 2026","","switch_company_test","",""
"","0","test_delete_creation_project","tests.web.selenium.enterprise_plan","Fri Feb 27 06:29:45 UTC 2026","broken","Fri Feb 27 06:29:45 UTC 2026","","test_delete_project","",""
"","316","test_update_project_test","tests.api","Fri Feb 27 06:29:49 UTC 2026","passed","Fri Feb 27 06:29:49 UTC 2026","TestProjectTests","projects_test","",""
"","317","test_update_suite","tests.api","Fri Feb 27 06:30:05 UTC 2026","passed","Fri Feb 27 06:30:05 UTC 2026","TestSuites","test_suites","",""
"","7042","test_login_invalid[both_empty]","tests.web","Fri Feb 27 06:30:31 UTC 2026","failed","Fri Feb 27 06:30:38 UTC 2026","","login_page_test","",""
"","467","test_can_create_project_by_header_button","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:45 UTC 2026","passed","Fri Feb 27 06:30:45 UTC 2026","","project_creation_test","",""
"","401","test_tags_and_tag_detail","tests.api","Fri Feb 27 06:29:47 UTC 2026","passed","Fri Feb 27 06:29:47 UTC 2026","TestAnalytics","test_analytics","",""
"","333","test_issue_detail_if_available","tests.api","Fri Feb 27 06:30:09 UTC 2026","passed","Fri Feb 27 06:30:09 UTC 2026","TestAnalytics","test_analytics","",""
"","159","test_list_plans","tests.api","Fri Feb 27 06:29:51 UTC 2026","passed","Fri Feb 27 06:29:51 UTC 2026","TestPlans","test_plans","",""
"","2614","test_runenvs_and_detail","tests.api","Fri Feb 27 06:29:48 UTC 2026","passed","Fri Feb 27 06:29:51 UTC 2026","TestAnalytics","test_analytics","",""
"","902","test_change_view_projects_list_by_table_view","tests.web.enterprise_plan","Fri Feb 27 06:30:23 UTC 2026","passed","Fri Feb 27 06:30:24 UTC 2026","","projects_page_test","",""
"","15119","test_new_project_creation_and_test_popup","tests.web.enterprise_plan","Fri Feb 27 06:30:01 UTC 2026","passed","Fri Feb 27 06:30:16 UTC 2026","","project_creation_test","",""
"","447","test_rungroup_aux","tests.api","Fri Feb 27 06:29:46 UTC 2026","passed","Fri Feb 27 06:29:47 UTC 2026","TestRunGroups","test_runs","",""
"","268","test_list_suites","tests.api","Fri Feb 27 06:30:00 UTC 2026","passed","Fri Feb 27 06:30:01 UTC 2026","TestSuites","test_suites","",""
"","8340","test_create_test_suite","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:07 UTC 2026","passed","Fri Feb 27 06:30:15 UTC 2026","","test_suite","",""
"","6336","test_login_invalid[password_256_chars]","tests.web","Fri Feb 27 06:30:25 UTC 2026","failed","Fri Feb 27 06:30:31 UTC 2026","","login_page_test","",""
"","798","test_create_suite_roundtrip","tests.api","Fri Feb 27 06:29:39 UTC 2026","passed","Fri Feb 27 06:29:40 UTC 2026","","suite_and_test_creation_test","",""
"","149","test_list_runs","tests.api","Fri Feb 27 06:30:03 UTC 2026","passed","Fri Feb 27 06:30:03 UTC 2026","TestRuns","test_runs","",""
"","2214","test_should_be_possible_to_open_free_project","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:12 UTC 2026","passed","Fri Feb 27 06:30:14 UTC 2026","","projects_page_test","",""
"","1814","test_login_invalid[empty_email]","tests.web","Fri Feb 27 06:30:39 UTC 2026","passed","Fri Feb 27 06:30:40 UTC 2026","","login_page_test","",""
"","85","test_projects_page_header","tests.web.free_plan","Fri Feb 27 06:30:34 UTC 2026","passed","Fri Feb 27 06:30:34 UTC 2026","","free_projects_test","",""
"","4873","test_can_not_create_project_without_company","tests.web.enterprise_plan","Fri Feb 27 06:30:16 UTC 2026","passed","Fri Feb 27 06:30:21 UTC 2026","","projects_page_test","",""
"","1920","test_labels_and_label_detail","tests.api","Fri Feb 27 06:29:39 UTC 2026","passed","Fri Feb 27 06:29:41 UTC 2026","TestAnalytics","test_analytics","",""
"","300","test_new_project_creation","tests.web.enterprise_plan","Fri Feb 27 06:30:10 UTC 2026","passed","Fri Feb 27 06:30:10 UTC 2026","","project_creation_test","",""
"","1304","test_create_test_case_roundtrip","tests.api","Fri Feb 27 06:29:41 UTC 2026","passed","Fri Feb 27 06:29:43 UTC 2026","","suite_and_test_creation_test","",""
"","822","test_search_project_in_company","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:02 UTC 2026","passed","Fri Feb 27 06:30:02 UTC 2026","","projects_page_test","",""
"","3547","test_jira_and_issue_detail","tests.api","Fri Feb 27 06:29:42 UTC 2026","passed","Fri Feb 27 06:29:46 UTC 2026","TestAnalytics","test_analytics","",""
"","11137","test_new_project_creation_and_test_popup","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:01 UTC 2026","broken","Fri Feb 27 06:30:12 UTC 2026","","project_creation_test","",""
"","72","test_login_with_valid_credential","tests.web","Fri Feb 27 06:30:48 UTC 2026","passed","Fri Feb 27 06:30:48 UTC 2026","","login_page_test","",""
"","3041","test_login_invalid[unregistered_valid_email]","tests.web","Fri Feb 27 06:29:58 UTC 2026","passed","Fri Feb 27 06:30:01 UTC 2026","","login_page_test","",""
"","956","test_change_view_projects_list_by_table_view","tests.web.selenium.enterprise_plan","Fri Feb 27 06:30:29 UTC 2026","passed","Fri Feb 27 06:30:30 UTC 2026","","projects_page_test","",""
"","5409","test_login_invalid[email_missing_domain]","tests.web","Fri Feb 27 06:30:05 UTC 2026","passed","Fri Feb 27 06:30:10 UTC 2026","","login_page_test","",""
"","0","test_jwt_token_is_cached","tests.api","Fri Feb 27 06:29:46 UTC 2026","passed","Fri Feb 27 06:29:46 UTC 2026","TestAuthentication","projects_test","",""
